
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           1.63992830E-02   2.94182800E+02   7.28493038E+12
           1.64605025E-02   2.94182922E+02   7.26404327E+12
           1.65267996E-02   2.94183044E+02   7.24163101E+12
           1.65930949E-02   2.94183197E+02   7.21942269E+12
           1.66593920E-02   2.94183319E+02   7.19741465E+12
           1.67256873E-02   2.94183441E+02   7.17560375E+12
           1.67919844E-02   2.94183594E+02   7.15398788E+12
           1.68582797E-02   2.94183716E+02   7.13256337E+12
           1.69245768E-02   2.94183838E+02   7.11132709E+12
           1.69908721E-02   2.94183990E+02   7.09027745E+12
           1.70571692E-02   2.94184113E+02   7.06941026E+12
           1.71234645E-02   2.94184235E+02   7.04872396E+12
           1.71897616E-02   2.94184387E+02   7.02821538E+12
           1.72616262E-02   2.94184509E+02   7.00618952E+12
           1.73334926E-02   2.94184662E+02   6.98436603E+12
           1.74053591E-02   2.94184814E+02   6.96274230E+12
           1.74772236E-02   2.94184967E+02   6.94131465E+12
           1.75490901E-02   2.94185089E+02   6.92007993E+12
           1.76209547E-02   2.94185242E+02   6.89903606E+12
           1.76928211E-02   2.94185394E+02   6.87817989E+12
           1.77646857E-02   2.94185516E+02   6.85750878E+12
           1.78365521E-02   2.94185669E+02   6.83701908E+12
           1.79084186E-02   2.94185822E+02   6.81670921E+12
           1.79802831E-02   2.94185974E+02   6.79657603E+12
           1.80521496E-02   2.94186096E+02   6.77661744E+12
           1.81240141E-02   2.94186249E+02   6.75683028E+12
           1.81958806E-02   2.94186401E+02   6.73721247E+12
           1.82677452E-02   2.94186523E+02   6.71776139E+12
           1.83396116E-02   2.94186676E+02   6.69847545E+12
           1.84114780E-02   2.94186829E+02   6.67935100E+12
           1.84833426E-02   2.94186981E+02   6.66038698E+12
           1.85552090E-02   2.94187103E+02   6.64158077E+12
           1.86325014E-02   2.94187256E+02   6.62153462E+12
           1.87097937E-02   2.94187408E+02   6.60166515E+12
           1.87870860E-02   2.94187561E+02   6.58197080E+12
           1.88643783E-02   2.94187714E+02   6.56244841E+12
           1.89416725E-02   2.94187897E+02   6.54309537E+12
           1.90189648E-02   2.94188049E+02   6.52391009E+12
           1.90962572E-02   2.94188202E+02   6.50488945E+12
           1.91735495E-02   2.94188354E+02   6.48603134E+12
           1.92508418E-02   2.94188507E+02   6.46733365E+12
           1.93281360E-02   2.94188660E+02   6.44879378E+12
           1.94054283E-02   2.94188812E+02   6.43041015E+12
           1.94827206E-02   2.94188965E+02   6.41218013E+12
           1.95600130E-02   2.94189117E+02   6.39410163E+12
           1.96373053E-02   2.94189270E+02   6.37617255E+12
           1.97145995E-02   2.94189423E+02   6.35839132E+12
           1.97918918E-02   2.94189575E+02   6.34075585E+12
           1.98691841E-02   2.94189728E+02   6.32326403E+12
           1.99464764E-02   2.94189880E+02   6.30591377E+12
           2.00298782E-02   2.94190063E+02   6.28735449E+12
           2.01132819E-02   2.94190216E+02   6.26895618E+12
           2.01966837E-02   2.94190399E+02   6.25071568E+12
           2.02800855E-02   2.94190552E+02   6.23263141E+12
           2.03634892E-02   2.94190735E+02   6.21470076E+12
           2.04468910E-02   2.94190887E+02   6.19692163E+12
           2.05302928E-02   2.94191071E+02   6.17929192E+12
           2.06136964E-02   2.94191223E+02   6.16181006E+12
           2.06970982E-02   2.94191406E+02   6.14447396E+12
           2.07805000E-02   2.94191559E+02   6.12728098E+12
           2.08639037E-02   2.94191742E+02   6.11022956E+12
           2.09473055E-02   2.94191895E+02   6.09331865E+12
           2.10307073E-02   2.94192047E+02   6.07654511E+12
           2.11141091E-02   2.94192230E+02   6.05990735E+12
           2.11975127E-02   2.94192383E+02   6.04340434E+12
           2.12809145E-02   2.94192566E+02   6.02703397E+12
           2.13643163E-02   2.94192719E+02   6.01079415E+12
           2.14543939E-02   2.94192902E+02   5.99340509E+12
           2.15444732E-02   2.94193085E+02   5.97616440E+12
           2.16345508E-02   2.94193268E+02   5.95906999E+12
           2.17246283E-02   2.94193451E+02   5.94212028E+12
           2.18147058E-02   2.94193634E+02   5.92531266E+12
           2.19047833E-02   2.94193817E+02   5.90864554E+12
           2.19948608E-02   2.94194000E+02   5.89211684E+12
