
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           7.82556739E-03   3.00016968E+02   3.24164754E+13
           7.84419198E-03   3.00017029E+02   3.24561346E+13
           7.86281656E-03   3.00017059E+02   3.24957498E+13
           7.88144115E-03   3.00017090E+02   3.25353189E+13
           7.90006574E-03   3.00017120E+02   3.25748460E+13
           7.91869033E-03   3.00017181E+02   3.26143291E+13
           7.93731492E-03   3.00017212E+02   3.26537681E+13
           7.95593951E-03   3.00017242E+02   3.26931631E+13
           7.97456410E-03   3.00017303E+02   3.27325162E+13
           7.99318869E-03   3.00017334E+02   3.27718231E+13
           8.01181328E-03   3.00017365E+02   3.28110902E+13
           8.03043786E-03   3.00017426E+02   3.28503111E+13
           8.04906245E-03   3.00017456E+02   3.28894901E+13
           8.06768704E-03   3.00017487E+02   3.29286272E+13
           8.08631163E-03   3.00017548E+02   3.29677202E+13
           8.10493622E-03   3.00017578E+02   3.30067733E+13
           8.12356081E-03   3.00017609E+02   3.30457825E+13
           8.14218633E-03   3.00017670E+02   3.30847496E+13
           8.16081092E-03   3.00017700E+02   3.31236728E+13
           8.17943551E-03   3.00017731E+02   3.31625561E+13
           8.19806010E-03   3.00017792E+02   3.32013974E+13
           8.21668468E-03   3.00017822E+02   3.32401968E+13
           8.23530927E-03   3.00017853E+02   3.32789543E+13
           8.25393386E-03   3.00017914E+02   3.33176719E+13
           8.27255845E-03   3.00017944E+02   3.33563476E+13
           8.29118304E-03   3.00017975E+02   3.33949813E+13
           8.30980763E-03   3.00018036E+02   3.34335731E+13
           8.32843222E-03   3.00018066E+02   3.34721272E+13
           8.34705681E-03   3.00018097E+02   3.35106372E+13
           8.36568139E-03   3.00018158E+02   3.35491094E+13
           8.38430598E-03   3.00018188E+02   3.35875397E+13
           8.40293057E-03   3.00018219E+02   3.36259302E+13
           8.42155516E-03   3.00018280E+02   3.36642808E+13
           8.44017975E-03   3.00018311E+02   3.37025895E+13
           8.45880434E-03   3.00018341E+02   3.37408604E+13
           8.47742986E-03   3.00018402E+02   3.37790894E+13
           8.49605445E-03   3.00018433E+02   3.38172806E+13
           8.51467904E-03   3.00018463E+02   3.38554320E+13
           8.53330363E-03   3.00018494E+02   3.38935436E+13
           8.55192821E-03   3.00018555E+02   3.39316153E+13
           8.57055280E-03   3.00018585E+02   3.39696471E+13
           8.58917739E-03   3.00018616E+02   3.40076412E+13
           8.60780198E-03   3.00018677E+02   3.40455976E+13
           8.62642657E-03   3.00018707E+02   3.40835120E+13
